month,ticker
2020-04,CVS
2020-04,CVX
2020-04,CXO
2020-04,D
2020-04,DAL
2020-04,DD
2020-04,DE
2020-04,DG
2020-04,DGX
2020-04,DHI
2020-04,DHR
2020-04,DIS
2020-04,DISH
2020-04,DLR
2020-04,DLTR
2020-04,DOV
2020-04,DOW
2020-04,DRE
2020-04,DTE
2020-04,DUK
2020-04,DVA
2020-04,DVN
2020-04,DXC
2020-04,EBAY
2020-04,ECL
2020-04,ED
2020-04,EFX
2020-04,EIX
2020-04,EL
2020-04,EMN
2020-04,EMR
2020-04,EOG
2020-04,EQIX
2020-04,EQR
2020-04,ES
2020-04,ESS
2020-04,ETN
2020-04,EW
2020-04,EXPD
2020-04,EXPE
2020-04,EXR
2020-04,F
2020-04,FANG
2020-04,FAST
2020-04,FCX
2020-04,FE
2020-04,FFIV
2020-04,FLIR
2020-04,FLS
2020-04,FLT
2020-04,FMC
2020-04,FOX
2020-04,FRT
2020-04,FTI
2020-04,FTNT
2020-04,FTV
2020-04,GD
2020-04,GE
2020-04,GILD
2020-04,GLW
2020-04,GM
2020-04,GOOG
2020-04,GPC
2020-04,GPS
2020-04,GRMN
2020-04,GWW
2020-04,HAL
2020-04,HAS
2020-04,HBI
2020-04,HCA
2020-04,HD
2020-04,HES
2020-04,HFC
2020-04,HLT
2020-04,HOG
2020-04,HOLX
2020-04,HP
2020-04,HPE
2020-04,HPQ
2020-04,HRB
2020-04,HRL
2020-04,HSIC
2020-04,HST
2020-04,HWM
2020-04,ICE
2020-04,IDXX
2020-04,IEX
2020-04,IFF
2020-04,INCY
2020-04,INFO
2020-04,INTC
2020-04,IP
2020-04,IPG
2020-04,IPGP
2020-04,IQV
2020-04,IR
2020-04,IRM
2020-04,ISRG
2020-04,IT
2020-04,ITW
2020-04,IVZ
2020-04,J
2020-04,JBHT
2020-04,JCI
2020-04,JKHY
2020-04,JNPR
2020-04,JWN
2020-04,K
2020-04,KIM
2020-04,KLAC
2020-04,KMI
2020-04,KMX
2020-04,KO
2020-04,KR
2020-04,KSS
2020-04,KSU
2020-04,LEG
2020-04,LEN
2020-04,LHX
2020-04,LIN
2020-04,LKQ
2020-04,LLY
2020-04,LMT
2020-04,LOW
2020-04,LRCX
2020-04,LUV
2020-04,LVS
2020-04,LW
2020-04,LYB
2020-04,M
2020-04,MA
2020-04,MAA
2020-04,MAR
2020-04,MCD
2020-04,MCHP
2020-04,MCK
2020-04,MCO
2020-04,MDLZ
2020-04,MDT
2020-04,MGM
2020-04,MHK
2020-04,MKC
2020-04,MLM
2020-04,MMM
2020-04,MNST
2020-04,MPC
2020-04,MRK
2020-04,MRO
2020-04,MSCI
2020-04,MSFT
2020-04,MSI
2020-04,MTD
2020-04,MU
2020-04,MXIM
2020-04,MYL
2020-04,NCLH
2020-04,NDAQ
2020-04,NEE
2020-04,NEM
2020-04,NFLX
2020-04,NKE
2020-04,NLSN
2020-04,NOC
2020-04,NOW
2020-04,NRG
2020-04,NSC
2020-04,NTAP
2020-04,NUE
2020-04,NVDA
2020-04,NVR
2020-04,NWL
2020-04,O
2020-04,OKE
2020-04,OMC
2020-04,ORLY
2020-04,OTIS
2020-04,OXY
2020-04,PAYC
2020-04,PEAK
2020-04,PEP
2020-04,PFE
2020-04,PG
2020-04,PH
2020-04,PHM
2020-04,PKG
2020-04,PKI
2020-04,PLD
2020-04,PM
2020-04,PNR
2020-04,PNW
2020-04,PPG
2020-04,PRGO
2020-04,PSX
2020-04,PVH
2020-04,PWR
2020-04,PXD
2020-04,PYPL
2020-04,QCOM
2020-04,QRVO
2020-04,REG
2020-04,REGN
2020-04,RHI
2020-04,RL
2020-04,ROK
2020-04,ROL
2020-04,ROP
2020-04,ROST
2020-04,RSG
2020-04,RTX
2020-04,SBAC
2020-04,SBUX
2020-04,SEE
2020-04,SHW
2020-04,SLB
2020-04,SNPS
2020-04,SPG
2020-04,SPGI
2020-04,SRE
2020-04,STE
2020-04,STX
2020-04,SWK
2020-04,SWKS
2020-04,SYK
2020-04,SYY
2020-04,TAP
2020-04,TDG
2020-04,TEL
2020-04,TFX
2020-04,TGT
2020-04,TIF
2020-04,TJX
2020-04,TMO
2020-04,TMUS
2020-04,TROW
2020-04,TSCO
2020-04,TSN
2020-04,TT
2020-04,TTWO
2020-04,TWTR
2020-04,TXN
2020-04,TXT
2020-04,UA
2020-04,UAL
2020-04,UHS
2020-04,ULTA
2020-04,UNH
2020-04,UNP
2020-04,UPS
2020-04,URI
2020-04,V
2020-04,VAR
2020-04,VFC
2020-04,VLO
2020-04,VMC
2020-04,VNO
2020-04,VRSK
2020-04,VRSN
2020-04,VRTX
2020-04,VTR
2020-04,VZ
2020-04,WAB
2020-04,WAT
2020-04,WBA
2020-04,WDC
2020-04,WEC
2020-04,WELL
2020-04,WHR
2020-04,WM
2020-04,WMB
2020-04,WMT
2020-04,WRK
2020-04,WU
2020-04,WY
2020-04,WYNN
2020-04,XEL
2020-04,XLNX
2020-04,XOM
2020-04,XRAY
2020-04,XRX
2020-04,XYL
2020-04,YUM
2020-04,ZBH
2020-04,ZBRA
2020-04,ZTS
2020-05,A
2020-05,AAL
2020-05,AAPL
2020-05,ABBV
2020-05,ABMD
2020-05,ABT
2020-05,ACN
2020-05,ADBE
2020-05,ADI
2020-05,ADM
2020-05,ADP
2020-05,ADSK
2020-05,AEE
2020-05,AEP
2020-05,AIV
2020-05,AJG
2020-05,AKAM
2020-05,ALB
2020-05,ALGN
2020-05,ALXN
2020-05,AMAT
2020-05,AMCR
2020-05,AMD
2020-05,AME
2020-05,AMGN
2020-05,AMP
2020-05,AMZN
2020-05,ANET
2020-05,ANSS
2020-05,AON
2020-05,AOS
2020-05,APA
2020-05,APH
2020-05,APTV
2020-05,ARE
2020-05,ATO
2020-05,ATVI
2020-05,AVB
2020-05,AVGO
2020-05,AVY
2020-05,AWK
2020-05,AZO
2020-05,BA
2020-05,BAX
2020-05,BBY
2020-05,BDX
2020-05,BEN
2020-05,BKNG
2020-05,BKR
2020-05,BLK
2020-05,BMY
2020-05,BR
2020-05,BRK.B
